2024-11-10 03:23:52 - INFO - Logging initialized. Log file: SourceCode/Logs/RNN_Generation_Logs\rnn_generation_20241110_032352.log
2024-11-10 03:23:52 - INFO - Using device: cuda
2024-11-10 03:23:52 - INFO - Character mappings loaded successfully
2024-11-10 03:23:52 - INFO - Model loaded successfully
2024-11-10 03:23:52 - INFO - Starting generation for character 'A'
2024-11-10 03:23:54 - INFO - Sample generated word: ALAKARAY
2024-11-10 03:23:54 - INFO - Sample generated word: AL-KATIE
2024-11-10 03:23:54 - INFO - Sample generated word: AMANAYON
2024-11-10 03:23:54 - INFO - Sample generated word: ANDYJAY4
2024-11-10 03:23:55 - INFO - Sample generated word: AL-FAVIC
2024-11-10 03:23:55 - INFO - Sample generated word: ABBY1982
2024-11-10 03:23:56 - INFO - Sample generated word: ANGEL307
2024-11-10 03:23:57 - INFO - Sample generated word: ASTA1980
2024-11-10 03:23:57 - INFO - Sample generated word: ASHALANA
2024-11-10 03:23:57 - INFO - Sample generated word: AHASON12
2024-11-10 03:23:58 - INFO - Sample generated word: ALEX1992
2024-11-10 03:23:58 - INFO - Sample generated word: ALLIE152
2024-11-10 03:23:58 - INFO - Sample generated word: AL-JAHAS
2024-11-10 03:23:58 - INFO - Sample generated word: ADA-CHAL
2024-11-10 03:23:59 - INFO - Sample generated word: AGIANICA
2024-11-10 03:23:59 - INFO - Sample generated word: ARIANA13
2024-11-10 03:23:59 - INFO - Sample generated word: ALEX1234
2024-11-10 03:24:00 - INFO - Sample generated word: ANDYLAMA
2024-11-10 03:24:02 - INFO - Sample generated word: ANDROPAM
2024-11-10 03:24:06 - INFO - Sample generated word: AURAGALI
2024-11-10 03:24:06 - INFO - Sample generated word: AL-MANTE
2024-11-10 03:24:06 - INFO - Sample generated word: ALEX1212
2024-11-10 03:24:06 - INFO - Sample generated word: ANTA1996
2024-11-10 03:24:06 - INFO - Sample generated word: ARIONATO
2024-11-10 03:24:07 - INFO - Sample generated word: AARTANTO
2024-11-10 03:24:07 - INFO - Sample generated word: ARAPOTET
2024-11-10 03:24:08 - INFO - Sample generated word: ALLIER23
2024-11-10 03:24:08 - INFO - Sample generated word: ANARASKA
2024-11-10 03:24:08 - INFO - Sample generated word: ANDYCE12
2024-11-10 03:24:09 - INFO - Sample generated word: ANDRANCE
2024-11-10 03:24:09 - INFO - Sample generated word: ALEXIANG
2024-11-10 03:24:09 - INFO - Sample generated word: ANATARAK
2024-11-10 03:24:09 - INFO - Sample generated word: AL-ARIEN
2024-11-10 03:24:10 - INFO - Sample generated word: ABELORIS
2024-11-10 03:24:10 - INFO - Sample generated word: ALLENE25
2024-11-10 03:24:12 - INFO - Sample generated word: ANGELINE
2024-11-10 03:24:12 - INFO - Sample generated word: ALISKING
2024-11-10 03:24:12 - INFO - Sample generated word: AMARIA77
2024-11-10 03:24:12 - INFO - Sample generated word: ALLASTER
2024-11-10 03:24:12 - INFO - Sample generated word: ALANDING
2024-11-10 03:24:12 - INFO - Sample generated word: ADRICHAS
2024-11-10 03:24:13 - INFO - Sample generated word: ABIBATON
2024-11-10 03:24:13 - INFO - Sample generated word: ANDREAM1
2024-11-10 03:24:13 - INFO - Sample generated word: ADALOVE1
2024-11-10 03:24:13 - INFO - Sample generated word: ALBERT02
2024-11-10 03:24:14 - INFO - Sample generated word: ALEXIDAT
2024-11-10 03:24:14 - INFO - Sample generated word: ALALOCAL
2024-11-10 03:24:14 - INFO - Sample generated word: AIRONA03
2024-11-10 03:24:15 - INFO - Sample generated word: ALLASITE
2024-11-10 03:24:15 - INFO - Sample generated word: ANNIDOLL
2024-11-10 03:24:15 - INFO - Sample generated word: ANNAKATI
2024-11-10 03:24:15 - INFO - Sample generated word: ASKANITE
2024-11-10 03:24:15 - INFO - Sample generated word: AMPITAMA
2024-11-10 03:24:15 - INFO - Sample generated word: ASTAMARA
2024-11-10 03:24:16 - INFO - Sample generated word: ADAMORES
2024-11-10 03:24:17 - INFO - Sample generated word: ARICANIT
2024-11-10 03:24:17 - INFO - Sample generated word: ALIANA07
2024-11-10 03:24:17 - INFO - Sample generated word: AUGONING
2024-11-10 03:24:18 - INFO - Sample generated word: ANNAISAA
2024-11-10 03:24:19 - INFO - Sample generated word: AMILIN88
2024-11-10 03:24:19 - INFO - Sample generated word: AURIANOT
